iteration,make span
1,114.0
2,112.0
3,114.0
4,118.0
5,101.0
6,114.0
7,114.0
8,114.0
9,114.0
10,114.0
11,114.0
12,114.0
13,114.0
14,114.0
15,114.0
16,114.0
17,114.0
18,114.0
19,114.0
20,114.0
21,114.0
22,114.0
23,114.0
24,114.0
25,114.0
26,114.0
27,114.0
28,114.0
29,114.0
30,114.0
31,114.0
32,114.0
33,114.0
34,114.0
35,114.0
36,114.0
37,114.0
38,114.0
39,114.0
40,114.0
41,114.0
42,114.0
43,114.0
44,114.0
45,114.0
46,114.0
47,114.0
48,114.0
49,114.0
50,114.0
51,114.0
52,114.0
53,114.0
54,114.0
55,114.0
56,114.0
57,114.0
58,114.0
59,114.0
60,114.0
61,114.0
62,114.0
63,114.0
64,114.0
65,114.0
66,114.0
67,114.0
68,114.0
69,114.0
70,114.0
71,114.0
72,114.0
73,114.0
74,114.0
75,114.0
76,114.0
77,114.0
78,114.0
79,114.0
80,114.0
81,114.0
82,114.0
83,114.0
84,114.0
85,114.0
86,114.0
87,114.0
88,114.0
89,114.0
90,114.0
91,114.0
92,114.0
93,114.0
94,114.0
95,114.0
96,114.0
97,114.0
98,114.0
99,114.0
100,114.0
101,114.0
102,114.0
103,114.0
104,114.0
105,114.0
106,114.0
107,114.0
108,114.0
109,114.0
110,114.0
111,114.0
112,114.0
113,114.0
114,114.0
115,114.0
116,114.0
117,114.0
118,114.0
119,114.0
120,114.0
121,114.0
122,114.0
123,114.0
124,114.0
125,114.0
126,114.0
127,114.0
128,114.0
129,114.0
130,114.0
131,114.0
132,114.0
133,114.0
134,114.0
135,114.0
136,114.0
137,114.0
138,114.0
139,114.0
140,114.0
141,114.0
142,114.0
143,114.0
144,114.0
145,114.0
146,114.0
147,114.0
148,114.0
149,114.0
150,114.0
151,114.0
152,114.0
153,114.0
154,114.0
155,114.0
156,114.0
157,114.0
158,114.0
159,114.0
160,114.0
161,114.0
162,114.0
163,114.0
164,114.0
165,114.0
166,114.0
167,114.0
168,114.0
169,114.0
170,114.0
171,114.0
172,114.0
173,114.0
174,114.0
175,114.0
176,114.0
177,114.0
178,114.0
179,114.0
180,114.0
181,114.0
182,114.0
183,114.0
184,114.0
185,114.0
186,114.0
187,114.0
188,114.0
189,114.0
190,114.0
191,114.0
192,114.0
193,114.0
194,114.0
195,114.0
196,114.0
197,114.0
198,114.0
199,114.0
200,114.0
